"country","coef"
"Armenia",-8.22864175826521e-08
"Bangladesh",-6.85962481566979e-08
"Belgium",-1.51370761972448e-08
"Canada",-9.52135367139524e-09
"Costa Rica",-5.4856277650017e-08
"Estonia",-2.56156139412373e-08
"Greece",2.14914364127996e-09
"Italy",-1.00543896390613e-06
"Latvia",-1.1695345624652e-08
"Lithuania",4.55944466830856e-08
"New Zealand",-1.82317673274892e-08
"Poland",-4.469547142071e-09
"Russia",3.09708797709937e-07
"Serbia",-3.90687260439828e-08
"Singapore",-1.80144816563416e-08
"Slovakia",2.35219838208355e-08
"South Korea",1.77165315560731e-07
"Turkey",7.66814551707945e-08
"Ukraine",-1.87980951033081e-08
